dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high,is_primary_target,is_limothai_candidate
GSE150623,SD_vs_DI,hsa-miR-1246,16.0,9.0,Severe dengue,Dengue infection,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,True,True
GSE150623,SD_vs_DI,hsa-miR-126-5p,16.0,9.0,Severe dengue,Dengue infection,11.183396281901468,14.044600207431454,1.307465968198959,0.8915507909120457,-2.8612039255299866,0.13762324528571135,0.4417689372662311,-6.476697848508276,1.6469122641873341e-06,0.00017292578773967006,0.000166668341481177,0.034722222222222224,,,False,False
GSE150623,SD_vs_DI,hsa-miR-146a-5p,16.0,9.0,Severe dengue,Dengue infection,7.074196680542419,10.106466127099692,3.0894654914681374,1.194652218084791,-3.0322694465572733,0.12223510267287209,0.8689803889614873,-3.489456707050798,0.0021603091243567393,0.016011702921702894,0.002450207828146332,0.125,,,False,False
GSE150623,SD_vs_DI,hsa-miR-30d-5p,16.0,9.0,Severe dengue,Dengue infection,11.2623821582253,13.310865737412861,0.810381933134612,0.9458052633035023,-2.048483579187561,0.2417380402734047,0.3747520609557204,-5.466236994036449,7.090170887331536e-05,0.0015813147706306837,0.00040261198244081374,0.0625,,,False,True
GSE150623,SD_vs_DI,hsa-miR-320a,16.0,9.0,Severe dengue,Dengue infection,13.467816077442592,13.024640736443175,1.447523515230935,0.8759247176285602,0.44317534099941724,1.359593472939916,0.46498076961103,0.9531046657481047,0.35054043200362256,0.40079940501321637,0.5522142220341504,0.5763888888888888,,,False,False
GSE150623,SD_vs_DI,hsa-miR-424-5p,16.0,9.0,Severe dengue,Dengue infection,2.878270325372907,2.7021977621870126,3.059936077959993,4.127916392269127,0.17607256318589437,1.1298040388583337,1.5743252061417663,0.11184002040937864,0.9126528375684739,0.92737304462603,0.8761713596220477,0.5208333333333334,,,False,True
GSE150623,SD_vs_DI,hsa-miR-486-5p,16.0,9.0,Severe dengue,Dengue infection,18.949469046215643,18.25037767014829,0.4493383526530708,0.38381869831869503,0.6990913760673543,1.6234819852797824,0.17025742942163138,4.10608440666692,0.0005984576490809199,0.006081101918080315,0.003549901166018988,0.8611111111111112,,,False,False
GSE150623,SD_vs_DI,hsa-miR-574-5p,16.0,9.0,Severe dengue,Dengue infection,0.8788897229406082,2.537824246444014,2.4362177839494863,3.0121046709314703,-1.6589345235034059,0.3166729352580217,1.1743225192159867,-1.4126736874729786,0.17965313372851593,0.33710964505897084,0.14069176562050648,0.3611111111111111,,,True,True
GSE150623,SD_vs_DWS,hsa-miR-122-5p,16.0,14.0,Severe dengue,Dengue with warning signs,5.4902841188362395,3.8297797238638713,4.0867546014063265,2.3081625356870634,1.6605043949723681,3.161270297441256,1.1934787707355647,1.3913145635166733,0.17678089556552418,0.40858337998478245,0.10728223965219762,0.6741071428571429,,,False,True
GSE150623,SD_vs_DWS,hsa-miR-1246,16.0,14.0,Severe dengue,Dengue with warning signs,0.0,0.7993935360742401,0.0,2.9910567291915218,-0.7993935360742401,0.574590666703917,0.7993935360742401,-1.0,0.3355612778654223,0.4223762139737248,0.31623268726570697,0.4642857142857143,,,True,True
GSE150623,SD_vs_DWS,hsa-miR-126-5p,16.0,14.0,Severe dengue,Dengue with warning signs,11.183396281901468,9.916316050166586,1.307465968198959,2.146637744532287,1.267080231734882,2.4067398928609673,0.6602941691289302,1.9189632302923905,0.06874804386740903,0.27906010705942363,0.06432948333813376,0.7008928571428571,,,False,False
GSE150623,SD_vs_DWS,hsa-miR-146a-5p,16.0,14.0,Severe dengue,Dengue with warning signs,7.074196680542419,6.730925497705175,3.0894654914681374,3.036043320616363,0.34327118283724367,1.2686298407831798,1.1202441200712885,0.30642533773388525,0.7615809128316142,0.8214536261045399,0.786907249609075,0.53125,,,False,False
GSE150623,SD_vs_DWS,hsa-miR-30d-5p,16.0,14.0,Severe dengue,Dengue with warning signs,11.2623821582253,11.734229372978561,0.810381933134612,1.2993684221423252,-0.47184721475326086,0.7210407918268762,0.4020471999936035,-1.173611493279316,0.2535530284140143,0.4223762139737248,0.32861474194940277,0.39285714285714285,,,False,True
GSE150623,SD_vs_DWS,hsa-miR-320a,16.0,14.0,Severe dengue,Dengue with warning signs,13.467816077442592,12.051304107595746,1.447523515230935,1.2730244127919996,1.4165119698468462,2.669393460167116,0.49670341407967156,2.8518265220130674,0.008077261155338415,0.09721054653617811,0.009372498740969796,0.78125,,,False,False
GSE150623,SD_vs_DWS,hsa-miR-424-5p,16.0,14.0,Severe dengue,Dengue with warning signs,2.878270325372907,7.1223433970124645,3.059936077959993,1.2943030939909992,-4.244073071639558,0.05277238250673505,0.8395589063041935,-5.055122445573607,5.439079784082073e-05,0.007622157965262871,0.00020412292903724445,0.10267857142857142,,,False,True
GSE150623,SD_vs_DWS,hsa-miR-486-5p,16.0,14.0,Severe dengue,Dengue with warning signs,18.949469046215643,19.175500729176974,0.4493383526530708,0.4130617921588285,-0.22603168296133092,0.8549834014335222,0.1574998593901451,-1.4351230778017692,0.16236117418364795,0.40858337998478245,0.15151977220539287,0.34375,,,False,False
GSE150623,SD_vs_DWS,hsa-miR-574-5p,16.0,14.0,Severe dengue,Dengue with warning signs,0.8788897229406082,1.731101439593696,2.4362177839494863,2.115151823966388,-0.8522117166530877,0.5539348775803782,0.830968870523444,-1.0255639493646282,0.31387623742760884,0.4223762139737248,0.14196312717086726,0.375,,,True,True
GSE150623,SD_vs_NonSevere,hsa-miR-122-5p,16.0,23.0,Severe dengue,Non-severe dengue,5.4902841188362395,3.8715071880861793,4.0867546014063265,2.2914851149279176,1.6187769307500601,3.071145642699338,1.1278953291679201,1.4352191102203402,0.16556390120496167,0.3105204882429096,0.09629208874242341,0.6589673913043478,,,False,True
