dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high
GSE190749,SD_vs_NonSevere,hsa-miR-489-3p,8.0,11.0,Severe dengue,Non-severe dengue,0.346034282679428,1.3040953720504904,,,-0.9580610893710624,0.514748244794285,,-2.2220843319919874,0.0443495971860468,0.9413072241304024,0.1664038995854105,0.3068181818181818,,
GSE190749,SD_vs_NonSevere,hsa-miR-890,8.0,11.0,Severe dengue,Non-severe dengue,1.2601731634785716,0.2674751532426368,,,0.9926980102359348,1.9899028669007883,,2.38826393484428,0.0446290475856985,0.9413072241304024,0.0118663591170109,0.8465909090909091,,
GSE190749,SD_vs_NonSevere,hsa-miR-490-3p,8.0,11.0,Severe dengue,Non-severe dengue,0.5688353532953497,1.732258876257162,,,-1.1634235229618124,0.4464518448605805,,-2.1724419155520187,0.0472582226679751,0.9413072241304024,0.2083747922228923,0.3238636363636363,,
GSE190749,SD_vs_NonSevere,hsa-miR-593-3p,8.0,11.0,Severe dengue,Non-severe dengue,5.128533254745802,4.439775742763362,,,0.6887575119824403,1.611894713136833,,2.124154500409552,0.0486303342539755,0.9413072241304024,0.1086502077214151,0.7272727272727273,,
GSE190749,SD_vs_NonSevere,hsa-miR-372-3p,8.0,11.0,Severe dengue,Non-severe dengue,0.346034282679428,1.3135254132642489,,,-0.9674911305848208,0.5113946133209589,,-2.168055666520766,0.0493279051973088,0.9413072241304024,0.1893469414350249,0.3181818181818182,,
GSE190749,SD_vs_NonSevere,hsa-miR-22-3p,8.0,11.0,Severe dengue,Non-severe dengue,6.568603483160661,5.11359536066279,,,1.4550081224978708,2.7415810452543825,,2.232176776253642,0.0496631838893356,0.9413072241304024,0.0620253499510465,0.7613636363636364,,
GSE190749,SD_vs_NonSevere,hsa-miR-1285-5p,8.0,11.0,Severe dengue,Non-severe dengue,7.704367621704369,6.45200772436344,,,1.252359897340929,2.3823079194956014,,2.227991976278524,0.0523488758722772,0.9413072241304024,0.0620253499510465,0.7613636363636364,,
GSE190749,SD_vs_NonSevere,hsa-miR-512-5p,8.0,11.0,Severe dengue,Non-severe dengue,0.7135609424014185,2.0322871110261502,,,-1.3187261686247318,0.4008887483464856,,-2.069211991795836,0.0544596556392435,0.9413072241304024,0.0680598251739766,0.2443181818181818,,
GSE190749,SD_vs_NonSevere,hsa-let-7a-5p,8.0,11.0,Severe dengue,Non-severe dengue,2.67989822579104,4.586697419908561,,,-1.9067991941175213,0.2666835617847291,,-2.171328071303084,0.05492163127181,0.9413072241304024,0.0754147812971342,0.25,,
GSE190749,SD_vs_NonSevere,hsa-miR-448,8.0,11.0,Severe dengue,Non-severe dengue,2.7311156339776588,3.590490369118614,,,-0.8593747351409551,0.5511913928450998,,-2.2313093802900337,0.0554852085250847,0.9413072241304024,0.0259321002355058,0.1931818181818181,,
