,sample_20035,Sample_20139,sample_20185,Sample_20260,Sample_20464,sample_20476,Sample_20654,Sample_20655,Sample_20688,Sample_20736,sample_B10,Sample_B11,Sample_B12,Sample_B13,Sample_B14,sample_B15,Sample_B2,Sample_B3,Sample_B4,Sample_B5,sample_B6,Sample_B7,Sample_B8,Sample_B9,Sample_C1,sample_C10,Sample_C11,Sample_C12,Sample_C13,Sample_C14,Sample_C15,Sample_C2,Sample_C3,Sample_C4,Sample_C5,Sample_C6,Sample_C7,Sample_C8,Sample_C9
hsa-miR-550a-3-5p,3.8689116525329865,2.9222265580042794,1.2786536494471334,4.527158573173471,2.880548169705695,4.354625619317366,0.0,0.0,2.73468243891519,3.0960738141884945,5.897139649761199,3.9121087879933856,3.0999444546839925,3.5299770813199567,5.0340148022604305,2.8705919916137494,3.3325134145695507,0.0,0.0,5.052587546028498,3.4466383933866718,4.625904823980461,3.437935155752391,4.247050893832563,0.0,0.0,2.984881308367027,5.616084642290515,0.0,0.0,0.0,4.408836792463355,0.0,0.0,0.0,0.0,0.0,3.3615704179572066,0.0
hsa-miR-556-5p,0.0,2.9222265580042794,0.0,2.8683148236788125,0.0,1.100718862138279,0.0,0.0,1.705955719272033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.594766380565373,0.0,1.5687284407344986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5581-5p,0.0,0.0,0.0,2.0534792977915752,1.0431460219900976,0.0,0.0,0.0,0.0,1.327789144367494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5587-5p,2.9644242577508915,2.9222265580042794,0.0,0.0,0.0,1.100718862138279,0.0,0.0,0.0,0.0,0.0,0.0,0.2291364356809921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49837375709876885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5588-5p,2.9644242577508915,2.6471120055915476,2.4000935270931327,4.875756839384347,3.074679306403562,2.47986718524238,0.0,0.0,0.0,2.00732259893602,0.0,0.0,0.6006497729130513,3.355064738907729,0.0,0.4929631112952247,1.0058903189802415,0.0,2.4130928355527557,0.0,1.8805022031261258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.131448873844867,0.0,0.0,0.0,0.0
hsa-miR-5683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4130928355527557,0.0,0.0,0.0,1.6717777335631625,1.345889044816067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.157179153317942,0.0,0.0,0.0
hsa-miR-5706,0.0,0.0,0.0,1.6325966155997047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4151005694727425,0.0,0.0,0.0,1.363532843247754,0.0,0.6950410384228635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-574-5p,0.0,6.003814669946131,5.6700007440135,5.52873299541827,5.637869808618226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68595767106127,0.0,0.0,5.0988751067306595,0.0,0.0,3.5013673335872704,0.0,4.1475473182049525,3.337514563734377,4.464158160993215,0.0,0.0,0.0,5.9101190965660315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1521164704837,0.0,0.0,0.0
hsa-miR-576-5p,3.711277301147462,4.771917440680842,3.63331458678813,0.0,4.666556579911015,4.1834253021368975,0.0,0.0,3.408088434313005,4.563930305690713,0.0,1.849061678683638,1.1407340915229216,3.68595767106127,0.0,0.0,5.0988751067306595,0.0,4.9118442475309765,1.4966972048117095,2.7605796095947954,4.1475473182049525,3.5318184187952197,3.0348114510827378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738768506906079,5.574353392286202,0.0,0.0
hsa-miR-577,0.0,0.0,0.0,0.0,0.0,1.717750130941088,0.0,0.0,0.0,0.0,0.0,0.0,1.350043515277603,0.0,0.0,0.0,1.0058903189802415,0.0,1.9080458351696161,0.0,0.0,0.0,1.0655962612274466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-578,2.469041750248771,0.0,2.4000935270931327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5299770813199567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-582-5p,5.386494781445098,0.0,2.745129405648739,3.6500615939823984,0.0,4.995693099488357,0.0,0.0,0.0,0.0,0.0,0.0,0.8958188240437217,0.0,0.0,0.859703066754126,4.259067809592125,3.5183027670657236,5.442111439457627,0.0,1.1621204085149701,2.71684136354252,3.6620957873153057,2.0298895192900965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-584-5p,10.484165823145032,13.08066941567416,11.92821204731893,11.038786259235684,11.708894400170273,12.482827202506536,10.587684867409669,11.444479270449582,12.664942994213783,12.878287144391852,8.23300993769317,7.772032135379504,8.018877953999386,8.420367531816503,7.162340537583731,4.811861654057895,11.55381730213024,5.994329128326654,9.464659285739351,5.962070004359391,8.42319390667082,10.5882573240796,9.034974009154245,9.87493468171968,10.01021427883219,9.799317859558027,8.922323146072511,9.800434345677802,9.661127515583471,7.2806139629147975,7.782212315218072,7.392275986363727,7.910844924282546,9.724075918916181,11.156674355016676,10.192663361540912,10.130003720535928,8.70920975225078,9.839066888202286
